ID;Название товара;Изображение;Новинка;Артикул;Остаток;Цена продажи;Старая цена;Цена закупки;Страна производства;Материал;Размер;Бренд;Количество в упаковке;Штрих-код;Минимальная партия
5211;"Ваза декоративная &quot;Нурия&quot; ";https://site.com/upload/iblock/845/845596d6a0c76bffe2c19e71ffdecb61.jpg;1;2014393;2;1480;;740;Германия;Дерево манго;8х20см;BOLTZE;2;;2
5214;"Ваза декоративная &quot;Нурия&quot; ";https://site.com/upload/iblock/8d6/8d6913aacec3ea8696d5eff3b96703cf.jpg;1;2014394;2;1994;;997;Германия;Дерево манго;8х29см;BOLTZE;2;;2
10990;"Ваза &quot;Бутыль&quot; ";https://site.com/upload/iblock/356/356ff484f9e8d120339cbecc1d82ec33.jpg;1;2009815;11;2760;0;1380;Испания;Переработанное стекло;14х51см;BOLTZE;1;;1
16265;"Ваза &quot;Хилари&quot; в ассортименте";https://site.com/upload/iblock/dfa/dfaf291ae77634aa64eb3c176ad4c6f7.jpg;1;2002766;16;740;;370;Германия;Керамика; 12х19см;BOLTZE;1;;4
21086;"Ваза &quot;Муар&quot; в ассортименте";https://site.com/upload/iblock/74c/74c78b238773f4f97326e5cc78d0bb18.jpg;1;2014676;4;1234;;617;Германия;Фарфор;10х23см;BOLTZE;4;;4
18668;"Вешалка &quot;Крылья Ангела&quot; ";https://site.com/upload/iblock/67b/67bd21a2f4365d9b3d167983dd164efd.jpg;1;570239.000.708;20;1250;;625;Германия;Металл;15,5x5x23,5см;POSIWIO;6;;1
2149;"Декор подвесной/Кормушка &quot;Скворечник&quot; в ассортименте";https://site.com/upload/iblock/d78/d7835a14b0a6fa9e782c730cfeabb8c4.jpg;1;450243.000.449;3;680;;340;Германия;Металл;7,5x10см / 8x10см/ 7,5x11см +25см подвес;POSIWIO;3;;3
2362;"Декор &quot;Ежик&quot; ";https://site.com/upload/iblock/ec5/ec51336fecfda7b38bd0f0754828be58.jpg;1;390382.012.803;17;450;;225;Германия;Металл;9х12см +5см штекер;POSIWIO;8;;2
4808;"Декор &quot;Чучело&quot; в ассортименте ";https://site.com/upload/iblock/76f/76f2f05bc41b7b8622d1548feb8fce55.jpg;1;571025.105.998;4;1030;0;515;Германия;Солома,текстиль,дерево;40x5x105см / 45x5x105см;POSIWIO;4;;4
9804;"Декор - Кормушка &quot;Ворон в цилиндре&quot;";https://site.com/upload/iblock/be1/be1053dc9ae24a395fce04941e9ad345.jpg;1;490590.018.826;4;980;0;490;Германия;Металл;14x7х18см + подвес 18см;POSIWIO;4;;4
